frame,left_INDEX_FINGER_DIP,left_INDEX_FINGER_MCP,left_INDEX_FINGER_PIP,left_INDEX_FINGER_TIP,left_MIDDLE_FINGER_DIP,left_MIDDLE_FINGER_MCP,left_MIDDLE_FINGER_PIP,left_MIDDLE_FINGER_TIP,left_PINKY_DIP,left_PINKY_MCP,left_PINKY_PIP,left_PINKY_TIP,left_RING_FINGER_DIP,left_RING_FINGER_MCP,left_RING_FINGER_PIP,left_RING_FINGER_TIP,left_THUMB_CMC,left_THUMB_IP,left_THUMB_MCP,left_THUMB_TIP,left_WRIST,right_INDEX_FINGER_DIP,right_INDEX_FINGER_MCP,right_INDEX_FINGER_PIP,right_INDEX_FINGER_TIP,right_MIDDLE_FINGER_DIP,right_MIDDLE_FINGER_MCP,right_MIDDLE_FINGER_PIP,right_MIDDLE_FINGER_TIP,right_PINKY_DIP,right_PINKY_MCP,right_PINKY_PIP,right_PINKY_TIP,right_RING_FINGER_DIP,right_RING_FINGER_MCP,right_RING_FINGER_PIP,right_RING_FINGER_TIP,right_THUMB_CMC,right_THUMB_IP,right_THUMB_MCP,right_THUMB_TIP,right_WRIST
263,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.38439301  0.40257776 -0.04015341],[ 0.36158475  0.58150488 -0.01009281],[ 0.3782801   0.46797711 -0.02389601],[ 0.38938546  0.34399539 -0.05320913],[ 0.32448253  0.37114587 -0.03732041],[ 0.31101793  0.57206404 -0.01187052],[ 0.32071158  0.4487057  -0.02134982],[ 0.32772383  0.3069649  -0.05084406],[ 0.17867102  0.47504351 -0.0534244 ],[ 0.20964909  0.62153411 -0.02933255],[ 0.19097535  0.53394836 -0.04474212],[ 0.16912833  0.41974455 -0.05901348],[ 0.27348608  0.40096995 -0.0472074 ],[ 0.26177579  0.58658874 -0.01873305],[ 0.26808429  0.46956778 -0.03167848],[ 0.27862364  0.3451843  -0.05890515],[ 0.35893187  0.8402909  -0.03089267],[ 0.48963493  0.69447136 -0.05334585],[ 0.43278319  0.75771964 -0.04258166],[ 0.53789866  0.65696746 -0.06373268],[2.72005916e-01 8.86799335e-01 5.70456564e-07]
264,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.38390109  0.40363112 -0.04229052],[ 0.3607474   0.58111715 -0.01220084],[ 0.37789223  0.46851602 -0.02603497],[ 0.388937    0.34498733 -0.05543366],[ 0.32233635  0.37148914 -0.03838916],[ 0.30934927  0.57116812 -0.0132819 ],[ 0.31880036  0.44771355 -0.02265008],[ 0.32511804  0.30837229 -0.05173573],[ 0.17969601  0.4736495  -0.05155779],[ 0.20839624  0.61920798 -0.02912094],[ 0.19097446  0.53122377 -0.04372065],[ 0.17068994  0.4205485  -0.05652119],[ 0.27195793  0.40303117 -0.04643716],[ 0.26018184  0.5850535  -0.01926625],[ 0.26628     0.46898723 -0.03181755],[ 0.27701437  0.34948409 -0.05744736],[ 0.3596867   0.84023041 -0.03178136],[ 0.48925221  0.69342613 -0.05451676],[ 0.43306229  0.75781864 -0.04373646],[ 0.53886276  0.65810084 -0.06492051],[2.71977872e-01 8.85696173e-01 5.78151059e-07]
265,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.39314383  0.40786564 -0.04150767],[ 0.3696053   0.58679533 -0.01046942],[ 0.38684344  0.47402999 -0.02504083],[ 0.39797401  0.34962451 -0.05441111],[ 0.33150533  0.37578014 -0.03868807],[ 0.31972063  0.57719731 -0.01299704],[ 0.3282347   0.45339075 -0.02316823],[ 0.33388224  0.31292364 -0.05155964],[ 0.18651038  0.4789024  -0.05391212],[ 0.22042018  0.62379467 -0.03145375],[ 0.19988857  0.53687555 -0.04623445],[ 0.17634316  0.42641664 -0.05864413],[ 0.27979204  0.40556628 -0.0478753 ],[ 0.27138066  0.59026378 -0.02037428],[ 0.27555388  0.47341442 -0.03329898],[ 0.28415039  0.35195637 -0.05871163],[ 0.36874068  0.84149218 -0.02949743],[ 0.49967363  0.69765627 -0.0518704 ],[ 0.44251525  0.75914401 -0.04090201],[ 0.54898971  0.66486603 -0.0626803 ],[2.83452213e-01 8.88018489e-01 5.47988520e-07]
266,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.39337638  0.40941009 -0.04142658],[ 0.36966103  0.58674186 -0.0107529 ],[ 0.38685143  0.47483295 -0.02497003],[ 0.39853424  0.3510274  -0.05450941],[ 0.3311224   0.3763667  -0.03867131],[ 0.31873807  0.57659763 -0.01278442],[ 0.32730794  0.45306957 -0.02273061],[ 0.33411306  0.31309319 -0.05189905],[ 0.18793716  0.47793978 -0.05307212],[ 0.21893759  0.62283576 -0.0302878 ],[ 0.20029138  0.53491771 -0.0452875 ],[ 0.17823651  0.42581075 -0.05786337],[ 0.27984673  0.40716317 -0.04798083],[ 0.27000281  0.5896033  -0.01968531],[ 0.27449334  0.47375891 -0.03294775],[ 0.28498444  0.3528074  -0.05898518],[ 0.37064871  0.84316552 -0.03031138],[ 0.49844283  0.69887459 -0.05197455],[ 0.44350439  0.7614032  -0.0415466 ],[ 0.54637182  0.66489118 -0.06206161],[2.85585582e-01 8.89221787e-01 5.78891559e-07]
267,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.41283357  0.41974002 -0.04382907],[ 0.38740361  0.59560764 -0.01114602],[ 0.40546143  0.48539811 -0.02698933],[ 0.41790813  0.3627834  -0.05677481],[ 0.35053599  0.38671878 -0.04351301],[ 0.33867469  0.58584732 -0.0164747 ],[ 0.34641019  0.4628073  -0.02778306],[ 0.35212022  0.32492357 -0.05656892],[ 0.20748283  0.48537758 -0.06023784],[ 0.24395119  0.63253623 -0.03868659],[ 0.21990557  0.5440526  -0.05301603],[ 0.19899468  0.43348935 -0.06482345],[ 0.29593059  0.41239411 -0.05327589],[ 0.29195151  0.59886265 -0.02594023],[ 0.29215479  0.48166895 -0.038927  ],[ 0.29980659  0.3577466  -0.06414817],[ 0.38992938  0.8455832  -0.02501843],[ 0.51837748  0.71159041 -0.04748294],[ 0.46254301  0.76789367 -0.0359496 ],[ 0.56800276  0.68520498 -0.05990367],[3.05735379e-01 8.89780521e-01 5.08646110e-07]
268,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.4135758   0.41910386 -0.0469691 ],[ 0.3889772   0.59724456 -0.01294523],[ 0.40519837  0.48508143 -0.0293584 ],[ 0.42109638  0.3608537  -0.06043511],[ 0.34960663  0.38598421 -0.04449132],[ 0.33931601  0.58678782 -0.01644789],[ 0.34462455  0.46244621 -0.02818751],[ 0.35451061  0.32356837 -0.05776932],[ 0.20854379  0.48286596 -0.05919123],[ 0.24242006  0.63011712 -0.03633448],[ 0.22194199  0.54059994 -0.05178835],[ 0.19828099  0.43092924 -0.06352726],[ 0.29752302  0.41451222 -0.0533997 ],[ 0.29171056  0.59840846 -0.02457973],[ 0.29290286  0.48224038 -0.03875586],[ 0.30275464  0.35983348 -0.06388524],[ 0.39078781  0.84723145 -0.028743  ],[ 0.51990438  0.71407163 -0.05231615],[ 0.46332783  0.76988274 -0.04062386],[ 0.56705379  0.68460178 -0.06421512],[3.06692958e-01 8.90185297e-01 5.82111397e-07]
269,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.44875643  0.44085482 -0.04618798],[ 0.41761053  0.61373365 -0.01023359],[ 0.43648058  0.50531405 -0.02770026],[ 0.45891041  0.38509762 -0.05990543],[ 0.38450551  0.40221006 -0.04461454],[ 0.37095442  0.60224545 -0.01548544],[ 0.37763837  0.47900173 -0.02767563],[ 0.38954884  0.33965421 -0.05844501],[ 0.24240643  0.49787796 -0.05981472],[ 0.27796811  0.64436692 -0.03807195],[ 0.2547015   0.55612183 -0.05267849],[ 0.23351306  0.44756776 -0.0642297 ],[ 0.33160707  0.42615744 -0.05445715],[ 0.3250581   0.61322713 -0.02511854],[ 0.32531118  0.49600136 -0.03908973],[ 0.33809525  0.37086222 -0.06557734],[ 0.42164257  0.86236751 -0.02531235],[ 0.54902095  0.73590899 -0.047247  ],[ 0.49171859  0.78711283 -0.03588758],[ 0.59680176  0.71093601 -0.0594229 ],[3.38193864e-01 9.00485635e-01 5.20732840e-07]
270,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.44709155  0.43984205 -0.04526186],[ 0.41904148  0.61728448 -0.00904012],[ 0.43501005  0.50506139 -0.02670468],[ 0.4589473   0.38313511 -0.05909168],[ 0.38534361  0.40216878 -0.04429398],[ 0.37192354  0.60583127 -0.01435129],[ 0.37734357  0.47991347 -0.02710443],[ 0.39450312  0.33899972 -0.05809068],[ 0.24298504  0.49526122 -0.06328515],[ 0.27926803  0.64656252 -0.0378267 ],[ 0.25692421  0.55563819 -0.05469489],[ 0.23278245  0.4412109  -0.06837344],[ 0.33251661  0.42714113 -0.05592472],[ 0.32627314  0.61621922 -0.02443054],[ 0.32625923  0.4987925  -0.03994454],[ 0.3404882   0.36976051 -0.06704608],[ 0.42516106  0.86493772 -0.02551033],[ 0.54865819  0.73747337 -0.04776023],[ 0.49226946  0.7898789  -0.03624625],[ 0.59516758  0.70890367 -0.05973106],[3.43260080e-01 9.05027390e-01 5.81045356e-07]
271,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.49196383  0.46101528 -0.05302143],[ 0.45887423  0.62855232 -0.01156996],[ 0.47697121  0.52178335 -0.03194189],[ 0.5069325   0.40906209 -0.06850357],[ 0.42999545  0.41963083 -0.05202955],[ 0.41365656  0.61758882 -0.01712576],[ 0.41991949  0.49470022 -0.03261866],[ 0.44005078  0.35944578 -0.06721374],[ 0.28139988  0.50987589 -0.06903761],[ 0.32031652  0.66053796 -0.0424709 ],[ 0.29538703  0.56959295 -0.05944851],[ 0.2717123   0.45553648 -0.07521916],[ 0.37836117  0.44156092 -0.06418411],[ 0.36815229  0.62913835 -0.02795747],[ 0.36888632  0.5109024  -0.0454561 ],[ 0.38944146  0.38621837 -0.07686939],[ 0.45654505  0.8754167  -0.02896026],[ 0.59288347  0.75886667 -0.05909663],[ 0.52945936  0.80119598 -0.04359012],[ 0.65028584  0.74828875 -0.07524833],[3.78554761e-01 9.16719079e-01 5.81856966e-07]
272,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.4891462   0.45807862 -0.05622735],[ 0.45751706  0.63023746 -0.01427643],[ 0.47459117  0.51942688 -0.03554982],[ 0.50424325  0.40591118 -0.07119928],[ 0.42904031  0.41776738 -0.05603533],[ 0.41238323  0.61808687 -0.02011357],[ 0.41877323  0.49335247 -0.03697184],[ 0.44120875  0.35711685 -0.07061472],[ 0.28461683  0.50631613 -0.07260384],[ 0.32184172  0.65873003 -0.04544767],[ 0.29853201  0.56672752 -0.06355037],[ 0.27502847  0.45179909 -0.07793044],[ 0.3777419   0.43904284 -0.06703576],[ 0.36791065  0.62785375 -0.03100572],[ 0.36914164  0.50946301 -0.04991128],[ 0.3886404   0.38363636 -0.0782574 ],[ 0.45551243  0.87221372 -0.02883883],[ 0.58742356  0.7611571  -0.06136178],[ 0.52698749  0.80347896 -0.04472721],[ 0.64017951  0.74754775 -0.07824472],[3.79633367e-01 9.14881349e-01 6.31288856e-07]
273,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.53679556  0.48387286 -0.05761143],[ 0.50049442  0.64732957 -0.01486975],[ 0.52211851  0.54349548 -0.03646636],[ 0.55088991  0.43198213 -0.07274053],[ 0.47825626  0.43506059 -0.05519233],[ 0.45568833  0.63088036 -0.01985833],[ 0.46631327  0.50802076 -0.03627617],[ 0.4895615   0.37617308 -0.06970567],[ 0.32624823  0.51567179 -0.07015782],[ 0.36194736  0.66540617 -0.0435919 ],[ 0.33940744  0.57452112 -0.0610117 ],[ 0.3172662   0.46153042 -0.07585863],[ 0.42349669  0.45236951 -0.06587464],[ 0.40979362  0.63771909 -0.02996325],[ 0.41393659  0.51926696 -0.04809506],[ 0.43421212  0.39840916 -0.07782139],[ 0.48634604  0.88782501 -0.02978631],[ 0.62186706  0.78348577 -0.06292224],[ 0.56201792  0.82374883 -0.04620008],[ 0.67671072  0.76670963 -0.08006233],[4.08010751e-01 9.21663165e-01 5.56071598e-07]
274,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.53540057  0.48225039 -0.0600431 ],[ 0.50095928  0.64900726 -0.01732827],[ 0.5215652   0.54323012 -0.03927502],[ 0.5483641   0.4296892  -0.07494304],[ 0.47998524  0.43479639 -0.05896773],[ 0.45571867  0.63169396 -0.02301193],[ 0.46836495  0.50814569 -0.04046891],[ 0.49145952  0.37561113 -0.07301322],[ 0.33027601  0.51322186 -0.07533528],[ 0.36259136  0.66591167 -0.04751942],[ 0.34274286  0.57342291 -0.06634127],[ 0.32100877  0.4588525  -0.08065065],[ 0.42468572  0.45027667 -0.06964935],[ 0.41030973  0.63775963 -0.03358136],[ 0.41654104  0.51997274 -0.05296578],[ 0.43295789  0.3954154  -0.08071598],[ 0.48921344  0.88670135 -0.02909321],[ 0.62072372  0.78219956 -0.06097685],[ 0.56203419  0.82349783 -0.04489445],[ 0.67013621  0.76233655 -0.07736541],[4.12592143e-01 9.21566784e-01 5.61519528e-07]
275,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.57448041  0.491386   -0.04941396],[ 0.54578853  0.65230602 -0.01108534],[ 0.5611555   0.54835707 -0.03003619],[ 0.58863443  0.44249788 -0.06338178],[ 0.5222401   0.44837695 -0.04655976],[ 0.49877143  0.63814974 -0.01517773],[ 0.50976652  0.51895243 -0.02896403],[ 0.53468531  0.39193928 -0.06035356],[ 0.37111992  0.52003264 -0.06352066],[ 0.40187675  0.67378265 -0.03747844],[ 0.38270122  0.5799703  -0.05421007],[ 0.36290932  0.46527421 -0.06925647],[ 0.46684685  0.46331888 -0.05803552],[ 0.45153224  0.64615762 -0.02454782],[ 0.45733693  0.53014874 -0.04076508],[ 0.47763181  0.40955466 -0.06973424],[ 0.5322085   0.90428329 -0.0291027 ],[ 0.66385555  0.79941607 -0.05614002],[ 0.60816973  0.84066629 -0.04248995],[ 0.71280265  0.77929121 -0.06992997],[4.51423138e-01 9.30581212e-01 5.24752181e-07]
276,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.57409894  0.48974341 -0.05087257],[ 0.54609406  0.65285301 -0.0130467 ],[ 0.56129736  0.54651225 -0.03202056],[ 0.58846557  0.44148019 -0.06457778],[ 0.52134871  0.44742    -0.0489832 ],[ 0.498896    0.63752079 -0.01643646],[ 0.50950825  0.51851815 -0.03130843],[ 0.53528088  0.39053556 -0.06275308],[ 0.37438756  0.51924163 -0.06617886],[ 0.40470782  0.67394811 -0.03760735],[ 0.38677526  0.58036828 -0.05615411],[ 0.36575079  0.46327791 -0.07217745],[ 0.46707511  0.46235088 -0.06039405],[ 0.45263869  0.64515579 -0.02524127],[ 0.45847943  0.53069031 -0.04322721],[ 0.47758058  0.40773788 -0.07176474],[ 0.53287005  0.90022326 -0.03078513],[ 0.66256034  0.79707956 -0.05961952],[ 0.60779625  0.83911431 -0.04534617],[ 0.70998311  0.77401453 -0.07362925],[4.53684390e-01 9.28977728e-01 5.50527204e-07]
277,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.61269456  0.50659174 -0.03776703],[ 0.5752334   0.66589421 -0.00547672],[ 0.59881592  0.56393486 -0.02047176],[ 0.62415731  0.45867327 -0.05083283],[ 0.56137675  0.46406913 -0.03592592],[ 0.53058225  0.64921927 -0.00876945],[ 0.54741967  0.53286898 -0.01951978],[ 0.57302988  0.40888998 -0.04900911],[ 0.41074437  0.52978176 -0.05220965],[ 0.43612942  0.679546   -0.02908813],[ 0.41927442  0.58863205 -0.04351606],[ 0.40690643  0.47646883 -0.0577759 ],[ 0.50484759  0.47329396 -0.04743956],[ 0.48505256  0.65444857 -0.01720171],[ 0.49406591  0.53912485 -0.03075267],[ 0.516348    0.42086345 -0.05908309],[ 0.55672753  0.91882867 -0.0278528 ],[ 0.68775415  0.81677306 -0.05334621],[ 0.62971842  0.85859662 -0.04046044],[ 0.74254924  0.80518371 -0.06623562],[4.76935059e-01 9.42432404e-01 5.37298092e-07]
278,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.61347091  0.51198435 -0.0425406 ],[ 0.57709771  0.67274272 -0.00803361],[ 0.60053676  0.57075894 -0.024505  ],[ 0.62401104  0.46192068 -0.05604669],[ 0.56395     0.46601331 -0.03942964],[ 0.53181738  0.65413082 -0.01074064],[ 0.55016142  0.53667116 -0.02353153],[ 0.57689613  0.40885058 -0.05165811],[ 0.41300708  0.52917302 -0.055603  ],[ 0.43598706  0.68175453 -0.03136107],[ 0.42189059  0.58945292 -0.04745912],[ 0.40818816  0.47392446 -0.06036323],[ 0.50822556  0.47652268 -0.04999985],[ 0.48548472  0.65756208 -0.01913651],[ 0.49720094  0.54249018 -0.03494109],[ 0.52010083  0.42399672 -0.05988614],[ 0.55626732  0.91772199 -0.03115234],[ 0.6886754   0.81482285 -0.06016517],[ 0.63000059  0.85897857 -0.04574219],[ 0.74347955  0.80182964 -0.07399589],[4.75389600e-01 9.43045139e-01 5.67934876e-07]
279,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.64047313  0.53493273 -0.03915761],[ 0.60147089  0.68206584 -0.00493908],[ 0.62626123  0.58710396 -0.02092707],[ 0.65297955  0.48957551 -0.0528834 ],[ 0.59074438  0.47954392 -0.03753908],[ 0.55681205  0.66123122 -0.00965246],[ 0.5753504   0.54702932 -0.02123287],[ 0.60429943  0.42291555 -0.05051473],[ 0.44153723  0.53699529 -0.05433397],[ 0.46277681  0.68693393 -0.03252003],[ 0.44870278  0.59622192 -0.04687033],[ 0.43816733  0.48272237 -0.05905702],[ 0.53462398  0.48552728 -0.04895588],[ 0.51085913  0.66376555 -0.01941166],[ 0.52288377  0.55082101 -0.03348594],[ 0.54690373  0.43184188 -0.05980392],[ 0.57248116  0.92397255 -0.02604216],[ 0.70622343  0.82699001 -0.05144513],[ 0.64608699  0.86609358 -0.03850616],[ 0.757532    0.81215262 -0.06410129],[4.93189573e-01 9.49330211e-01 4.97895371e-07]
280,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.63863194  0.53369308 -0.04328931],[ 0.60054392  0.68577415 -0.00829598],[ 0.62457436  0.5898242  -0.02491164],[ 0.65171474  0.4837611  -0.05769888],[ 0.59027374  0.48014006 -0.04244054],[ 0.55663836  0.66390651 -0.01187066],[ 0.57516748  0.54956841 -0.02560337],[ 0.60526502  0.42127502 -0.05555986],[ 0.44392166  0.53768981 -0.05875368],[ 0.4634324   0.68640488 -0.03361675],[ 0.45154265  0.59680927 -0.0501771 ],[ 0.43963116  0.48212641 -0.06412997],[ 0.53687274  0.48736912 -0.05297422],[ 0.51147342  0.66483402 -0.02086648],[ 0.52517635  0.55352604 -0.03733543],[ 0.54959291  0.43163678 -0.06352071],[ 0.56980485  0.923383   -0.0298825 ],[ 0.70554972  0.82399958 -0.05729954],[ 0.64414722  0.86520386 -0.04363348],[ 0.75942993  0.81379163 -0.07061081],[4.90253448e-01 9.46311712e-01 5.30491775e-07]
281,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[ 0.6539458   0.53375769 -0.04328636],[ 0.60843843  0.68775916 -0.00780312],[ 0.63510484  0.58915412 -0.02488397],[ 0.67263377  0.48468155 -0.05735582],[ 0.6061911   0.48767719 -0.04239788],[ 0.56689841  0.66927153 -0.01263503],[ 0.58856767  0.55745196 -0.02558999],[ 0.62356824  0.42732266 -0.05585803],[ 0.46071929  0.54227483 -0.06130037],[ 0.47754619  0.69360352 -0.03607118],[ 0.4661223   0.60257787 -0.05236752],[ 0.4591215   0.48525074 -0.06708628],[ 0.55552852  0.49474746 -0.05349605],[ 0.52413207  0.67191428 -0.02256354],[ 0.54027522  0.56186414 -0.03777684],[ 0.5719164   0.43799737 -0.06459969],[ 0.58072072  0.92910028 -0.02676036],[ 0.71367532  0.82672983 -0.05042839],[ 0.6551773   0.86914623 -0.03841296],[ 0.76381981  0.81387013 -0.06251819],[5.01916826e-01 9.49831128e-01 5.26198676e-07]
